"10 minutes","10 Minuten"
"15 minutes","15 Minuten"
"20 minutes","20 Minuten"
"30 minutes","30 Minuten"
"5 minutes","5 Minuten"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Zeitgesteuerte Aufgaben) - alle Zeitangaben in Minuten"
"Daily","Täglich"
"Failure History Lifetime","Aufbewahrung des Fehlerverlaufs"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Um sicher zu stellen, dass URLs, die durch Cron generiert werden, korrekt sind, achten Sie bitte darauf dass die Web > Secure and Unsecure Base URLs explizit konfiguriert sind."
"Generate Schedules Every","Generiere Abläufe alle"
"History Cleanup Every","Verwerfen des Verlaufs alle"
"Hourly","Stündlich"
"Invalid callback: %s::%s does not exist","Invalider Callback: %s::%s existiert nicht"
"Invalid model/method definition, expecting ""model/class::method"".","Ungültige model/method-Definition, erwarte ""model/class::method""."
"Minute Intervals","Minutenintervalle"
"Missed if Not Run Within","Ausgelassen wenn nicht ausgeführt innerhalb von"
"Monthly","Monatlich"
"No callbacks found","Keine Callbacks gefunden"
"Schedule Ahead for","Plane im Voraus für"
"Success History Lifetime","Aufbewahrung des Verlaufs geglückter Ausführungen"
"Too late for the schedule.","Zu spät für diese Ausführung."
"Unable to delete the cron task.","Cron-Job kann nicht gelöscht werden."
"Unable to save the cron expression.","Cron-Ausdruck konnte nicht gespeichert werden."
"Unknown error.","Unbekannter Fehler."
"Weekly","Wöchentlich"
