"""Remember Me"" Default Value","""Login merken""-Standardwert"
"(Not %s?)","(Nicht %s?)"
"* Required Fields","* Pflichtfelder"
"Address","Adresse"
"Address Information","Addressinformationen"
"Already registered?","Bereits registriert?"
"Back","Zurück"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Mit einem Konto bei unserem Shop geht der Bestell- und Bezahlprozess viel schneller, Sie können mehrere Versandadressen speichern, Ihre Bestellungen ansehen und verfolgen und vieles mehr."
"Cannot load configuration from file %s.","Konfiguration aus Datei %s kann nicht geladen werden."
"Checkout as Guest","Checkout als Gast"
"Checkout as a Guest or Register","Als Gast weiter zur Kasse gehen oder registrieren"
"City","Stadt"
"Clear Persistence on Log Out","Eindeutige Ausdauer beim Ausloggen"
"Close","Schließen"
"Company","Unternehmen"
"Confirm Password","Passwort bestätigen"
"Continue","Weiter"
"Country","Land"
"Create an Account","Ein Konto anlegen"
"Easy access to your order history and status","Schneller Zugriff auf Ihre Bestellungen und Ihren Status"
"Email Address","E-Mail-Adresse"
"Enable ""Remember Me""","""Login merken"" aktivieren"
"Enable Persistence","Ausdauer aktivieren"
"Fast and easy check out","Schnelles und einfaches Bezahlen"
"Fax","Fax"
"Forgot Your Password?","Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"General Options","Allgemeine Optionen"
"If you have an account with us, please log in.","Falls Sie ein Konto bei uns haben, loggen Sie bitte ein."
"Loading next step...","Lade nächsten Schritt..."
"Login","Login"
"Login Information","Login-Informationen"
"Login or Create an Account","Einloggen oder Benutzerkonto erstellen"
"New Customers","Neue Kunden"
"Password","Passwort"
"Persist Shopping Cart","Bestehender Warenkorb"
"Persistence Lifetime (seconds)","Noch bleibende Lebensdauer (Sekunden)"
"Persistent Shopping Cart","Bleibender Warenkorb"
"Personal Information","Persönliche Angaben"
"Please log in below:","Bitte loggen Sie sich hier ein:"
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen."
"Register","Registrieren"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren, um ein Konto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns, um den Einkauf so bequem wie möglich zu gestalten:"
"Registered Customers","Registrierte Kunden"
"Remember Me","Eingaben merken"
"Save in address book","Im Adressbuch speichern"
"Select State/Province...","Bundesland auswählen"
"Select a billing address from your address book or enter a new address.","Rechnungsadresse aus Ihrem Adressbuch auswählen oder neue Adresse eingeben"
"Ship to different address","An eine abweichende Adresse versenden"
"Ship to this address","An diese Adresse versenden"
"Shopping cart has been updated with appropriate prices","Der Einkaufswagen wurde mit entsprechenden Preisen aktualisiert"
"Sign Up for Newsletter","Melden Sie sich für unseren Newsletter an"
"State/Province","Staat/Bezirk"
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
"Street Address %s","Hausanschrift %s"
"Submit","Übermitteln"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Um weiter zur Kasse zu gehen, melden Sie sich bitte mit Ihrer E-Mail-Adresse an."
"VAT Number","MwSt.-Nummer"
"Welcome, %s!","Willkommen, %s!"
"What\'s this?","Was ist das?"
"Zip/Postal Code","Postleitzahl"
