"1 star","1 星"
"2 stars","2 星"
"3 stars","3 星"
"4 stars","4 星"
"5 stars","5 星"
"Add New Rating","添加新评级"
"Assigned Options","分配的选项"
"Be the first to review this product","作为评论该产品的第一人"
"Default Value","默认值"
"Delete Rating","删除评级"
"Edit Rating","编辑评级"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","如果您不为商店指定评级标题，则将使用默认值。"
"Manage Ratings","管理评级"
"New Rating","新评级"
"Option Label","选项标签"
"Option Title","选项标题"
"Option Title:","选项标题："
"Please select one of each ratings above","请选择上述评级"
"Rating Information","评级信息"
"Rating Name","评级名称"
"Rating Options","评级选项"
"Rating Title","评级标题"
"Rating Visibility","评级能见度"
"Rating isn't Available","评级不可用"
"Rating with the same title","对同一名称打分"
"Save Rating","保存评分"
"Sort Order","排序顺序"
"Visible In","可见性"
