Custom,Zelfgekozen
Close,Close
Cancel,Cancel
Back,Back
Price,Prijs
ID,ID
Configure,Configure
No,Nee
Qty,Qty
Subtotal,Subtotaal
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Ja
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Bestelling
View,Bekijk
Active,Active
Position,Position
Dynamic,Dynamisch
N/A,Nvt
Canceled,Canceled
"General Information","General Information"
Static,Statisch
"Advanced Settings","Advanced Settings"
"Learn More","Meer Informatie"
"Start Date","Start Date"
"Product Name","Product Name"
"3D Secure Card Validation","3D Secure Card Validation"
"Merchant Liability","Winkelier Aansprakelijkheid"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method",Verzendingsmethode
"Please agree to all the terms and conditions before placing the order.","Ga alstublieft akkoord met alle voorwaarden voor het plaatsen van de bestelling."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
Password,Password
Continue,Continue
"Order #","Order #"
Login,Login
"Shipping Address",Verzendingsadres
"Payment Method","Payment Method"
"Place Order","Bestelling plaatsen"
"Sorry, no quotes are available for this order at this time.","Sorry, geen prijsopgaven zijn beschikbaar voor deze bestelling op dit moment."
Sales,Verkoop
Created,Created
Display,Display
User,User
Daily,Dagelijks
Date,Date
"Order Total","Order Total"
Never,Nooit
Updated,Updated
Reports,Verslagen
"Order Status","Order Status"
"View Order","View Order"
Event,Gebeurtenis
"Please Select","Please Select"
"Submitting order information...","Bestellingsinformatie aan het overbrengen..."
Authorization,Autorisatie
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Facturering Overeenkomsten"
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Factureringsovereenkomst Beeld"
"View Transaction Details","Bekijk Transactie Details"
"Reference Information",Verwijsinformatie
"Transaction Information","Transactie Informatie"
"PayPal Fee Information","PayPal kosten informatie"
"PayPal Settlement Reports","PayPal Overeenstemming Rapporten"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Updates halen"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Help
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
