Custom,自定义
Close,Close
Cancel,Cancel
Back,Back
Price,价格
ID,ID
Configure,Configure
No,否
Qty,Qty
Subtotal,小计
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,是
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,订单
View,查看
Active,Active
Position,Position
Dynamic,动态
N/A,N/A
Canceled,Canceled
"General Information","General Information"
Static,静态
"Advanced Settings","Advanced Settings"
"Learn More",了解更多
"Start Date","Start Date"
"Product Name","Product Name"
"3D Secure Card Validation","3D Secure Card Validation"
"Merchant Liability",商家责任
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method",运送方式
"Please agree to all the terms and conditions before placing the order.",请在下订单前同意所有的条款和条件。
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
Password,Password
Continue,Continue
"Order #","Order #"
Login,Login
"Shipping Address",送货地址
"Payment Method","Payment Method"
"Place Order",下订单
"Sorry, no quotes are available for this order at this time.",抱歉，当前该订单中没有报价可用。
Sales,销售
Created,Created
Display,Display
User,User
Daily,每天
Date,Date
"Order Total","Order Total"
Never,永不
Updated,Updated
Reports,报告
"Order Status","Order Status"
"View Order","View Order"
Event,事件
"Please Select","Please Select"
"Submitting order information...",正在提交订单信息...
Authorization,授权
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements",记账协议
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View",记账协议视图
"View Transaction Details",查看交易详情
"Reference Information",参考信息
"Transaction Information",交易信息
"PayPal Fee Information",PayPal费用信息
"PayPal Settlement Reports",PayPal处理报告
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates",获取更新
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,帮助
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"View Demo",查看演示
"See terms","See terms"
"You will be redirected to the PayPal website.",您将被重定向到PayPal网站。
"Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?","Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?"
"You will be redirected to the PayPal website when you place an order.",在您下单时，您会被重定向到PayPal网站。
