"Action","Actie"
"An error occurred while writing to the backup file ""%s"".","Er is een fout opgetreden terwijl het backup-bestand ""%s"" werd geschreven."
"Backup file ""%s"" cannot be read from or written to.","Backup-bestand ""%s"" kan niet gelezen of beschreven worden."
"Backup file ""%s"" does not exist.","Backup-bestand ""%s"" bestaat niet."
"Backup file does not exist.","Backup-bestand bestaat niet"
"Backup file handler was unspecified.","Backup bestand behandelaar is niet gespecificeerd."
"Backup file path was not specified.","Backup-bestand pad is niet gespecificeerd."
"Backups","Backups"
"Cannot read backup file.","Kan backup-bestand niet lezen."
"Create Backup","Creëer backup"
"DB","DB"
"Database was successfuly backed up.","Database backup is met succes uitgevoerd"
"Download","Download"
"Size, Bytes","Grootte, bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","Het bestand is gecomprimeerd met Zlib, maar deze extensie is niet geïnstalleerd op de server."
"Time","Tijd"
"Type","type"
"Unable to create backup. Please, try again later.","Niet in staat om backup te creëren. Probeer a.u.b. later opnieuw."
"Wrong order of creation for new backup.","Verkeerde volgorde van creëren van nieuwe backup."
